task_id,policy,step,reward
easy,round_robin,1,0.528
easy,round_robin,2,0.521
easy,round_robin,3,0.528
easy,round_robin,4,0.537
easy,round_robin,5,0.538
easy,round_robin,6,0.547
easy,round_robin,7,0.536
easy,round_robin,8,0.551
easy,round_robin,9,0.548
easy,round_robin,10,0.54
easy,round_robin,11,0.551
easy,round_robin,12,0.551
easy,round_robin,13,0.555
easy,round_robin,14,0.534
easy,round_robin,15,0.509
easy,round_robin,16,0.474
easy,round_robin,17,0.453
easy,round_robin,18,0.503
easy,round_robin,19,0.512
easy,round_robin,20,0.501
easy,round_robin,21,0.5
easy,round_robin,22,0.531
easy,round_robin,23,0.547
easy,round_robin,24,0.543
easy,round_robin,25,0.489
easy,round_robin,26,0.487
easy,round_robin,27,0.514
easy,round_robin,28,0.514
easy,round_robin,29,0.542
easy,round_robin,30,0.554
easy,round_robin,31,0.542
easy,round_robin,32,0.533
easy,round_robin,33,0.518
easy,round_robin,34,0.53
easy,round_robin,35,0.54
easy,round_robin,36,0.547
easy,round_robin,37,0.548
easy,round_robin,38,0.544
easy,round_robin,39,0.563
easy,round_robin,40,0.548
easy,round_robin,41,0.5
easy,round_robin,42,0.53
easy,round_robin,43,0.555
easy,round_robin,44,0.554
easy,round_robin,45,0.549
easy,round_robin,46,0.538
easy,round_robin,47,0.545
easy,round_robin,48,0.546
easy,round_robin,49,0.552
easy,round_robin,50,0.543
medium,round_robin,1,0.514
medium,round_robin,2,0.512
medium,round_robin,3,0.499
medium,round_robin,4,0.493
medium,round_robin,5,0.498
medium,round_robin,6,0.515
medium,round_robin,7,0.526
medium,round_robin,8,0.524
medium,round_robin,9,0.521
medium,round_robin,10,0.523
medium,round_robin,11,0.497
medium,round_robin,12,0.5
medium,round_robin,13,0.49
medium,round_robin,14,0.483
medium,round_robin,15,0.512
medium,round_robin,16,0.517
medium,round_robin,17,0.521
medium,round_robin,18,0.534
medium,round_robin,19,0.548
medium,round_robin,20,0.53
medium,round_robin,21,0.501
medium,round_robin,22,0.528
medium,round_robin,23,0.487
medium,round_robin,24,0.517
medium,round_robin,25,0.518
medium,round_robin,26,0.51
medium,round_robin,27,0.539
medium,round_robin,28,0.54
medium,round_robin,29,0.555
medium,round_robin,30,0.529
medium,round_robin,31,0.504
medium,round_robin,32,0.492
medium,round_robin,33,0.479
medium,round_robin,34,0.499
medium,round_robin,35,0.511
medium,round_robin,36,0.502
medium,round_robin,37,0.531
medium,round_robin,38,0.538
medium,round_robin,39,0.513
medium,round_robin,40,0.505
medium,round_robin,41,0.51
medium,round_robin,42,0.526
medium,round_robin,43,0.537
medium,round_robin,44,0.541
medium,round_robin,45,0.524
medium,round_robin,46,0.506
medium,round_robin,47,0.509
medium,round_robin,48,0.521
medium,round_robin,49,0.498
medium,round_robin,50,0.466
medium,round_robin,51,0.478
medium,round_robin,52,0.49
medium,round_robin,53,0.505
medium,round_robin,54,0.522
medium,round_robin,55,0.488
medium,round_robin,56,0.5
medium,round_robin,57,0.495
medium,round_robin,58,0.515
medium,round_robin,59,0.527
medium,round_robin,60,0.52
medium,round_robin,61,0.497
medium,round_robin,62,0.507
medium,round_robin,63,0.519
medium,round_robin,64,0.493
medium,round_robin,65,0.481
medium,round_robin,66,0.535
medium,round_robin,67,0.525
medium,round_robin,68,0.539
medium,round_robin,69,0.524
medium,round_robin,70,0.505
hard,round_robin,1,0.465
hard,round_robin,2,0.48
hard,round_robin,3,0.465
hard,round_robin,4,0.457
hard,round_robin,5,0.44
hard,round_robin,6,0.468
hard,round_robin,7,0.486
hard,round_robin,8,0.483
hard,round_robin,9,0.442
hard,round_robin,10,0.41
hard,round_robin,11,0.412
hard,round_robin,12,0.386
hard,round_robin,13,0.406
hard,round_robin,14,0.422
hard,round_robin,15,0.437
hard,round_robin,16,0.412
hard,round_robin,17,0.399
hard,round_robin,18,0.469
hard,round_robin,19,0.478
hard,round_robin,20,0.458
hard,round_robin,21,0.436
hard,round_robin,22,0.459
hard,round_robin,23,0.475
hard,round_robin,24,0.445
hard,round_robin,25,0.434
hard,round_robin,26,0.414
hard,round_robin,27,0.447
hard,round_robin,28,0.0
hard,round_robin,29,0.0
hard,round_robin,30,0.424
hard,round_robin,31,0.47
hard,round_robin,32,0.484
hard,round_robin,33,0.482
hard,round_robin,34,0.475
hard,round_robin,35,0.441
hard,round_robin,36,0.416
hard,round_robin,37,0.435
hard,round_robin,38,0.416
hard,round_robin,39,0.422
hard,round_robin,40,0.433
hard,round_robin,41,0.395
hard,round_robin,42,0.449
hard,round_robin,43,0.475
hard,round_robin,44,0.451
hard,round_robin,45,0.42
hard,round_robin,46,0.458
hard,round_robin,47,0.487
hard,round_robin,48,0.465
hard,round_robin,49,0.427
hard,round_robin,50,0.427
hard,round_robin,51,0.455
hard,round_robin,52,0.444
hard,round_robin,53,0.421
hard,round_robin,54,0.416
hard,round_robin,55,0.462
hard,round_robin,56,0.476
hard,round_robin,57,0.443
hard,round_robin,58,0.0
hard,round_robin,59,0.459
hard,round_robin,60,0.489
hard,round_robin,61,0.47
hard,round_robin,62,0.0
hard,round_robin,63,0.456
hard,round_robin,64,0.505
hard,round_robin,65,0.508
hard,round_robin,66,0.508
hard,round_robin,67,0.51
hard,round_robin,68,0.512
hard,round_robin,69,0.493
hard,round_robin,70,0.51
hard,round_robin,71,0.514
hard,round_robin,72,0.5
hard,round_robin,73,0.489
hard,round_robin,74,0.462
hard,round_robin,75,0.487
hard,round_robin,76,0.5
hard,round_robin,77,0.476
hard,round_robin,78,0.484
hard,round_robin,79,0.527
hard,round_robin,80,0.54
hard,round_robin,81,0.5
hard,round_robin,82,0.492
hard,round_robin,83,0.484
hard,round_robin,84,0.459
hard,round_robin,85,0.0
hard,round_robin,86,0.458
hard,round_robin,87,0.477
hard,round_robin,88,0.488
hard,round_robin,89,0.0
hard,round_robin,90,0.497
easy,heuristic,1,0.527
easy,heuristic,2,0.509
easy,heuristic,3,0.818
easy,heuristic,4,0.826
easy,heuristic,5,0.85
easy,heuristic,6,0.711
easy,heuristic,7,0.864
easy,heuristic,8,0.707
easy,heuristic,9,0.714
easy,heuristic,10,0.698
easy,heuristic,11,0.71
easy,heuristic,12,0.713
easy,heuristic,13,0.689
easy,heuristic,14,0.676
easy,heuristic,15,0.667
easy,heuristic,16,0.693
easy,heuristic,17,0.7
easy,heuristic,18,0.699
easy,heuristic,19,0.639
easy,heuristic,20,0.674
easy,heuristic,21,0.688
easy,heuristic,22,0.688
easy,heuristic,23,0.67
easy,heuristic,24,0.725
easy,heuristic,25,0.721
easy,heuristic,26,0.731
easy,heuristic,27,0.708
easy,heuristic,28,0.707
easy,heuristic,29,0.688
easy,heuristic,30,0.67
easy,heuristic,31,0.672
easy,heuristic,32,0.703
easy,heuristic,33,0.681
easy,heuristic,34,0.711
easy,heuristic,35,0.689
easy,heuristic,36,0.705
easy,heuristic,37,0.709
easy,heuristic,38,0.702
easy,heuristic,39,0.695
easy,heuristic,40,0.755
easy,heuristic,41,0.728
easy,heuristic,42,0.705
easy,heuristic,43,0.704
easy,heuristic,44,0.699
easy,heuristic,45,0.704
easy,heuristic,46,0.725
easy,heuristic,47,0.702
easy,heuristic,48,0.699
easy,heuristic,49,0.703
easy,heuristic,50,0.678
medium,heuristic,1,0.504
medium,heuristic,2,0.49
medium,heuristic,3,0.794
medium,heuristic,4,0.81
medium,heuristic,5,0.784
medium,heuristic,6,0.8
medium,heuristic,7,0.744
medium,heuristic,8,0.796
medium,heuristic,9,0.613
medium,heuristic,10,0.64
medium,heuristic,11,0.649
medium,heuristic,12,0.669
medium,heuristic,13,0.639
medium,heuristic,14,0.673
medium,heuristic,15,0.695
medium,heuristic,16,0.706
medium,heuristic,17,0.692
medium,heuristic,18,0.696
medium,heuristic,19,0.725
medium,heuristic,20,0.665
medium,heuristic,21,0.774
medium,heuristic,22,0.722
medium,heuristic,23,0.685
medium,heuristic,24,0.672
medium,heuristic,25,0.67
medium,heuristic,26,0.661
medium,heuristic,27,0.703
medium,heuristic,28,0.687
medium,heuristic,29,0.126
medium,heuristic,30,0.675
medium,heuristic,31,0.7
medium,heuristic,32,0.693
medium,heuristic,33,0.676
medium,heuristic,34,0.674
medium,heuristic,35,0.698
medium,heuristic,36,0.655
medium,heuristic,37,0.625
medium,heuristic,38,0.647
medium,heuristic,39,0.656
medium,heuristic,40,0.678
medium,heuristic,41,0.675
medium,heuristic,42,0.689
medium,heuristic,43,0.688
medium,heuristic,44,0.698
medium,heuristic,45,0.685
medium,heuristic,46,0.679
medium,heuristic,47,0.638
medium,heuristic,48,0.095
medium,heuristic,49,0.646
medium,heuristic,50,0.661
medium,heuristic,51,0.687
medium,heuristic,52,0.673
medium,heuristic,53,0.67
medium,heuristic,54,0.672
medium,heuristic,55,0.672
medium,heuristic,56,0.699
medium,heuristic,57,0.682
medium,heuristic,58,0.672
medium,heuristic,59,0.665
medium,heuristic,60,0.663
medium,heuristic,61,0.699
medium,heuristic,62,0.695
medium,heuristic,63,0.691
medium,heuristic,64,0.681
medium,heuristic,65,0.661
medium,heuristic,66,0.678
medium,heuristic,67,0.68
medium,heuristic,68,0.653
medium,heuristic,69,0.618
medium,heuristic,70,0.178
hard,heuristic,1,0.469
hard,heuristic,2,0.454
hard,heuristic,3,0.751
hard,heuristic,4,0.759
hard,heuristic,5,0.72
hard,heuristic,6,0.735
hard,heuristic,7,0.647
hard,heuristic,8,0.636
hard,heuristic,9,0.466
hard,heuristic,10,0.516
hard,heuristic,11,0.549
hard,heuristic,12,0.55
hard,heuristic,13,0.521
hard,heuristic,14,0.564
hard,heuristic,15,0.609
hard,heuristic,16,0.672
hard,heuristic,17,0.649
hard,heuristic,18,0.652
hard,heuristic,19,0.628
hard,heuristic,20,0.627
hard,heuristic,21,0.664
hard,heuristic,22,0.665
hard,heuristic,23,0.634
hard,heuristic,24,0.701
hard,heuristic,25,0.706
hard,heuristic,26,0.652
hard,heuristic,27,0.649
hard,heuristic,28,0.578
hard,heuristic,29,0.526
hard,heuristic,30,0.557
hard,heuristic,31,0.616
hard,heuristic,32,0.613
hard,heuristic,33,0.635
hard,heuristic,34,0.636
hard,heuristic,35,0.648
hard,heuristic,36,0.638
hard,heuristic,37,0.644
hard,heuristic,38,0.66
hard,heuristic,39,0.633
hard,heuristic,40,0.65
hard,heuristic,41,0.652
hard,heuristic,42,0.654
hard,heuristic,43,0.683
hard,heuristic,44,0.736
hard,heuristic,45,0.619
hard,heuristic,46,0.638
hard,heuristic,47,0.606
hard,heuristic,48,0.609
hard,heuristic,49,0.578
hard,heuristic,50,0.611
hard,heuristic,51,0.591
hard,heuristic,52,0.635
hard,heuristic,53,0.042
hard,heuristic,54,0.61
hard,heuristic,55,0.633
hard,heuristic,56,0.633
hard,heuristic,57,0.073
hard,heuristic,58,0.607
hard,heuristic,59,0.632
hard,heuristic,60,0.05
hard,heuristic,61,0.177
hard,heuristic,62,0.644
hard,heuristic,63,0.679
hard,heuristic,64,0.645
hard,heuristic,65,0.607
hard,heuristic,66,0.618
hard,heuristic,67,0.101
hard,heuristic,68,0.131
hard,heuristic,69,0.083
hard,heuristic,70,0.611
hard,heuristic,71,0.653
hard,heuristic,72,0.633
hard,heuristic,73,0.629
hard,heuristic,74,0.66
hard,heuristic,75,0.624
hard,heuristic,76,0.645
hard,heuristic,77,0.643
hard,heuristic,78,0.553
hard,heuristic,79,0.551
hard,heuristic,80,0.577
hard,heuristic,81,0.565
hard,heuristic,82,0.619
hard,heuristic,83,0.687
hard,heuristic,84,0.636
hard,heuristic,85,0.656
hard,heuristic,86,0.659
hard,heuristic,87,0.657
hard,heuristic,88,0.638
hard,heuristic,89,0.603
hard,heuristic,90,0.606
easy,resilient,1,0.527
easy,resilient,2,0.509
easy,resilient,3,0.818
easy,resilient,4,0.826
easy,resilient,5,0.85
easy,resilient,6,0.711
easy,resilient,7,0.864
easy,resilient,8,0.707
easy,resilient,9,0.714
easy,resilient,10,0.698
easy,resilient,11,0.71
easy,resilient,12,0.713
easy,resilient,13,0.689
easy,resilient,14,0.672
easy,resilient,15,0.654
easy,resilient,16,0.694
easy,resilient,17,0.69
easy,resilient,18,0.677
easy,resilient,19,0.649
easy,resilient,20,0.688
easy,resilient,21,0.706
easy,resilient,22,0.691
easy,resilient,23,0.656
easy,resilient,24,0.706
easy,resilient,25,0.718
easy,resilient,26,0.73
easy,resilient,27,0.708
easy,resilient,28,0.704
easy,resilient,29,0.688
easy,resilient,30,0.669
easy,resilient,31,0.672
easy,resilient,32,0.704
easy,resilient,33,0.682
easy,resilient,34,0.711
easy,resilient,35,0.69
easy,resilient,36,0.705
easy,resilient,37,0.71
easy,resilient,38,0.702
easy,resilient,39,0.695
easy,resilient,40,0.754
easy,resilient,41,0.728
easy,resilient,42,0.704
easy,resilient,43,0.702
easy,resilient,44,0.7
easy,resilient,45,0.703
easy,resilient,46,0.725
easy,resilient,47,0.703
easy,resilient,48,0.7
easy,resilient,49,0.704
easy,resilient,50,0.677
medium,resilient,1,0.504
medium,resilient,2,0.49
medium,resilient,3,0.794
medium,resilient,4,0.81
medium,resilient,5,0.784
medium,resilient,6,0.8
medium,resilient,7,0.744
medium,resilient,8,0.796
medium,resilient,9,0.613
medium,resilient,10,0.631
medium,resilient,11,0.643
medium,resilient,12,0.663
medium,resilient,13,0.655
medium,resilient,14,0.672
medium,resilient,15,0.671
medium,resilient,16,0.681
medium,resilient,17,0.678
medium,resilient,18,0.707
medium,resilient,19,0.679
medium,resilient,20,0.665
medium,resilient,21,0.678
medium,resilient,22,0.718
medium,resilient,23,0.685
medium,resilient,24,0.66
medium,resilient,25,0.673
medium,resilient,26,0.662
medium,resilient,27,0.703
medium,resilient,28,0.687
medium,resilient,29,0.121
medium,resilient,30,0.672
medium,resilient,31,0.699
medium,resilient,32,0.695
medium,resilient,33,0.676
medium,resilient,34,0.674
medium,resilient,35,0.697
medium,resilient,36,0.651
medium,resilient,37,0.61
medium,resilient,38,0.641
medium,resilient,39,0.65
medium,resilient,40,0.67
medium,resilient,41,0.668
medium,resilient,42,0.676
medium,resilient,43,0.684
medium,resilient,44,0.697
medium,resilient,45,0.676
medium,resilient,46,0.691
medium,resilient,47,0.636
medium,resilient,48,0.63
medium,resilient,49,0.521
medium,resilient,50,0.663
medium,resilient,51,0.688
medium,resilient,52,0.674
medium,resilient,53,0.67
medium,resilient,54,0.669
medium,resilient,55,0.674
medium,resilient,56,0.7
medium,resilient,57,0.681
medium,resilient,58,0.675
medium,resilient,59,0.669
medium,resilient,60,0.663
medium,resilient,61,0.7
medium,resilient,62,0.697
medium,resilient,63,0.692
medium,resilient,64,0.681
medium,resilient,65,0.662
medium,resilient,66,0.679
medium,resilient,67,0.679
medium,resilient,68,0.654
medium,resilient,69,0.62
medium,resilient,70,0.178
hard,resilient,1,0.469
hard,resilient,2,0.454
hard,resilient,3,0.751
hard,resilient,4,0.759
hard,resilient,5,0.72
hard,resilient,6,0.735
hard,resilient,7,0.647
hard,resilient,8,0.636
hard,resilient,9,0.466
hard,resilient,10,0.516
hard,resilient,11,0.549
hard,resilient,12,0.55
hard,resilient,13,0.521
hard,resilient,14,0.564
hard,resilient,15,0.609
hard,resilient,16,0.672
hard,resilient,17,0.649
hard,resilient,18,0.652
hard,resilient,19,0.628
hard,resilient,20,0.627
hard,resilient,21,0.664
hard,resilient,22,0.665
hard,resilient,23,0.634
hard,resilient,24,0.701
hard,resilient,25,0.706
hard,resilient,26,0.652
hard,resilient,27,0.649
hard,resilient,28,0.578
hard,resilient,29,0.526
hard,resilient,30,0.557
hard,resilient,31,0.616
hard,resilient,32,0.613
hard,resilient,33,0.635
hard,resilient,34,0.636
hard,resilient,35,0.648
hard,resilient,36,0.638
hard,resilient,37,0.644
hard,resilient,38,0.66
hard,resilient,39,0.633
hard,resilient,40,0.65
hard,resilient,41,0.652
hard,resilient,42,0.654
hard,resilient,43,0.683
hard,resilient,44,0.736
hard,resilient,45,0.619
hard,resilient,46,0.638
hard,resilient,47,0.606
hard,resilient,48,0.609
hard,resilient,49,0.578
hard,resilient,50,0.611
hard,resilient,51,0.591
hard,resilient,52,0.635
hard,resilient,53,0.042
hard,resilient,54,0.61
hard,resilient,55,0.633
hard,resilient,56,0.633
hard,resilient,57,0.073
hard,resilient,58,0.607
hard,resilient,59,0.632
hard,resilient,60,0.05
hard,resilient,61,0.177
hard,resilient,62,0.644
hard,resilient,63,0.679
hard,resilient,64,0.645
hard,resilient,65,0.607
hard,resilient,66,0.618
hard,resilient,67,0.101
hard,resilient,68,0.131
hard,resilient,69,0.083
hard,resilient,70,0.611
hard,resilient,71,0.653
hard,resilient,72,0.633
hard,resilient,73,0.629
hard,resilient,74,0.66
hard,resilient,75,0.624
hard,resilient,76,0.645
hard,resilient,77,0.643
hard,resilient,78,0.553
hard,resilient,79,0.551
hard,resilient,80,0.577
hard,resilient,81,0.565
hard,resilient,82,0.619
hard,resilient,83,0.687
hard,resilient,84,0.636
hard,resilient,85,0.656
hard,resilient,86,0.659
hard,resilient,87,0.657
hard,resilient,88,0.638
hard,resilient,89,0.603
hard,resilient,90,0.606
